Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
163.9156598,0.1670829447,-7.961828449,-12.05221775,14.44557308,1
2.034406417,0.5241009955,-1.566467319,-11.54417891,11.66175666,1
57.2,-0.0406,0.401,0.908,0.994,1
7.173837333,-19.4714012,-11.1622154,-3.650101567,22.73881612,1
151.2538303,4.181367887,0.9813972598,-0.4731087434,4.320973255,1
21.5,3.23,-4.84,3.91,7.01,1
257.3771727,-12.04731077,-0.9693978962,-6.148010459,13.56006865,1
27.50088658,-4.17768034,12.15144032,2.345082117,13.06177343,1
145.125158,-16.21058328,2.864503001,50.54593294,53.15900417,1
149.3983666,3.421043618,10.99260287,-1.667666835,11.63279717,1
100.4012439,-3.535201148,8.311661514,5.684727377,10.67227668,1
63.6,-0.143,-0.157,1.28,1.3,1
87.64943558,-1.420852938,0.9103354633,1.684785143,2.384540775,1
188.3172704,-3.901755788,0.5104230425,3.305988833,5.139434996,1
215.3287962,-0.8699589774,-11.04486061,-19.10865164,22.08814935,1
32.4,0.275,0.893,0.932,1.32,1
119.2564992,2.539291391,9.959478221,4.2652728,11.12797193,1
2.656755833,-25.70153931,-8.855891696,-0.911581578,27.19975959,1
289.9099065,1.90875046,-6.814063286,-16.11813763,17.60310051,1
259.916748,-1.3755262,0.47148848,-9.165459664,9.28008753,1
190.0081247,0.2550628558,0.1671508455,-0.8527906752,0.90567566,1
20.57465392,1.007303203,-1.171224777,-4.166458656,4.443625204,1
1.138049042,1.795334064,-1.384205807,-2.823423972,3.620907765,1
80.02178946,1.623122746,1.138782086,4.688754762,5.090753707,1
124.6956571,-0.105293005,-0.2103132373,-0.2761663342,0.3627480101,1
39.3,0.217,0.369,1.74,1.79,1
28.40430633,-1.34976249,-1.661621983,0.1837217816,2.148627489,1
41.6,-0.713,0.438,1.11,1.39,1
3.95,3.43,-4.61,-10.2,11.7,1
85.01633346,-0.1147477699,6.359943375,-1.969351587,6.658858195,1
106.5102512,22.91352374,-16.12245287,58.82099673,65.15268769,1
149.9733465,-2.412096325,-17.10075403,-8.470498788,19.23547106,1
7.797423917,-5.870292274,-3.941444349,-5.219812921,8.788729252,1
188.1165167,-5.287144779,-7.151711923,-18.76658835,20.76741972,1
18.4,-0.275,9.8,1.12,9.87,1
162.2092553,-6.796759036,-14.20945909,-3.583799404,16.15389362,1
17.5,-4.15,3.91,3.01,6.45,1
214.9674364,-15.70493712,4.448028695,-6.855932858,17.70406237,1
211.7352805,-0.01413301259,1.252862433,5.965560958,6.095718298,1
6.04,2.39,1.38,0.856,2.89,1
253.602942,-5.146070176,7.255924509,-2.670231015,9.287659146,1
20.7,2.0,-0.0907,-1.59,2.56,1
68.13608596,-3.784577587,2.326213883,-8.652722002,9.726453443,1
213.4718128,-13.69610045,1.080492289,-9.130544186,16.4959834,1
18.04505117,4.856036001,1.82933957,15.09231849,15.95950019,1
52.1,0.402,0.267,-2.95,2.99,1
305.8802039,-3.825191177,-3.115304698,23.90142953,24.40523601,1
134.3139752,-0.6736996691,-5.663361651,-1.300219032,5.849624429,1
0.252,1.43,-1.07,-1.46,2.31,1
53.9,0.206,9.14,0.16,9.14,1
5.246543667,28.88027987,4.966580536,36.69957659,46.96377763,1
42.9,1.95,-0.18,0.38,2.0,1
53.8,-1.43,6.61,-1.11,6.85,1
18.12752167,-0.05568910114,-1.00742731,-1.823430812,2.083965208,1
28.77571233,2.473626867,3.808072869,-0.8352138718,4.617123678,1
75.87973933,2.682709558,-0.8046704292,0.607788831,2.865978425,1
33.38198221,-0.04231359534,-1.164631749,0.848861931,1.441778114,1
50.5,-1.63,-6.07,-0.8,6.34,1
239.399411,-1.854671024,-3.392055169,-16.97629722,17.41093076,1
37.9,-4.1,5.97,0.434,7.25,1
134.6960327,-9.217346102,15.2038132,11.58492231,21.22088193,1
0.743,7.75,-0.361,-12.7,14.9,1
241.1259168,-5.982876318,-2.706420017,-29.21470786,29.94359153,1
157.4019332,-5.319683365,6.574381238,-1.442774296,8.579225923,1
207.7603347,-2.648489021,-2.709568451,-16.3531267,16.78633397,1
48.92452554,-0.495313691,-2.451535794,1.084017064,2.725886351,1
36.12350467,-2.808567074,15.02674547,-0.6923873703,15.30263143,1
54.7,-0.587,0.734,0.12,0.948,1
152.8384949,2.731326525,7.340684577,0.7255500732,7.865889496,1
17.5,-0.749,-1.73,-1.82,2.62,1
87.24282208,-4.783291083,7.21273522,-12.03720912,14.82558013,1
45.5,1.13,-0.572,-0.21,1.28,1
300.2690131,-2.547807569,-6.148753055,-16.43738976,17.73376073,1
271.2896421,-11.64429377,-5.190407274,-18.92990225,22.82260074,1
55.3,-0.26,0.229,-1.38,1.43,1
143.2001256,-2.462878223,1.867597756,0.6320853277,3.154872799,1
297.0869999,1.134803933,-0.5805747199,5.778613195,5.917534742,1
53.1,0.886,1.4,1.87,2.5,1
294.7180567,0.1926276392,-1.906295214,-7.985343027,8.211989412,1
136.9918556,-1.362831164,-10.43785531,2.496516085,10.81844373,1
6.34,-2.07,-1.01,-5.42,5.89,1
44.99309087,0.05684469368,0.9033761072,2.146559059,2.329599859,1
82.57923458,-1.289539678,0.9418273973,0.07313697338,1.598530714,1
18.69918767,0.1605535783,1.725187064,3.435581258,3.847761224,1
159.4880784,0.8760411049,-0.267008425,-1.44064167,1.707099862,1
53.2,-0.124,0.702,0.102,0.72,1
206.7866749,-0.9150817213,-1.358183797,-11.12896813,11.2488208,1
68.77850221,8.698233805,-16.57585065,21.03904206,28.16131011,1
53.227031,-0.3062912075,0.4814892653,4.063409666,4.103284579,1
165.1547749,1.105599868,9.656017669,1.68263673,9.863685653,1
48.12070658,-12.49680261,-8.694279333,-23.29562993,27.82888683,1
65.86754983,23.8653452,-14.75981657,25.36901517,37.82847892,1
65.9,0.24,-0.194,-0.189,0.362,1
5.73,0.73,2.43,5.64,6.18,1
196.6184552,1.351481572,0.4126777697,-3.340883262,3.627437987,1
9.2,-4.19,-8.66,1.11,9.68,1
118.7461805,-2.072883557,-9.716697734,-14.26086781,17.38054694,1
270.3761961,-4.570452141,-11.06642163,-9.619816972,15.35889316,1
55.16726183,1.633512371,3.328964882,3.942973396,5.412708107,1
57.2,-1.16,-2.01,-1.42,2.72,1
47.6,-0.364,0.122,-1.06,1.13,1
43.52883125,-0.910956803,-0.5748193055,-2.936464684,3.127792252,1
33.73447308,-5.320672714,8.235503869,2.153033535,10.03835821,1
170.9018792,-1.309994992,-6.850194401,-9.455268722,11.74918537,1
157.1411652,-2.208305949,-0.5175803268,0.6084612608,2.348346155,1
200.7238847,-4.792184406,-12.25398879,-15.78392248,20.54890463,1
52.35449725,4.541133617,4.458211621,-4.022180949,7.528312226,1
31.70680396,0.8862703702,-9.915200765,1.169244325,10.02316386,1
30.5,0.737,3.03,1.33,3.39,1
230.6966334,50.747152,12.34468379,49.44432687,71.91944183,1
15.91698071,0.321230679,0.4410227323,10.31113445,10.32555973,1
13.1,2.79,4.68,-3.46,6.46,1
53.7,-0.341,8.86,1.65,9.02,1
260.9205334,-3.725591752,2.192850881,-0.0905447191,4.323982798,1
6.62,-0.735,-0.213,0.131,0.777,1
104.8643041,-14.27753822,-37.86128736,5.051650507,40.77798856,1
233.3968012,-0.6938874735,1.676249232,-9.714460005,9.882409852,1
7.595434167,-15.24220134,-12.32724973,-7.352107113,20.93655336,1
21.37699292,-0.5972882549,-3.066219954,-0.8110485721,3.227422788,1
66.21164733,1.201669913,8.83900786,2.713343121,9.323856575,1
171.2933495,-7.831853031,-9.606659567,10.41003191,16.18624708,1
110.977019,0.7334188905,-9.843244929,-16.21553587,18.98343956,1
161.0928056,0.4627073142,9.582224638,0.2629317828,9.596992247,1
252.9504828,-8.865734314,9.655951595,4.509986084,13.86285038,1
52.8,3.01,5.56,11.9,13.5,1
289.1369895,11.74399347,-8.019117129,44.20144668,46.43269873,1
94.87657504,-2.510962509,-0.5645801,1.366811802,2.914079256,1
30.2,6.02,3.85,5.69,9.14,1
